pathway	category
MET activates PTK2 signaling	Signal Transduction
MET promotes cell motility	Signal Transduction
Nonsense-Mediated Decay (NMD)	Metabolism of RNA
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	Metabolism of RNA
Mitochondrial translation initiation	Metabolism of proteins
Mitochondrial translation	Metabolism of proteins
Mitochondrial translation elongation	Metabolism of proteins
Mitochondrial translation termination	Metabolism of proteins
Neurotransmitter clearance	Neuronal System
Abacavir transmembrane transport	Drug ADME
Abacavir ADME	Drug ADME
Transport of bile salts and organic acids, metal ions and amine compounds	Transport of small molecules
Na+/Cl- dependent neurotransmitter transporters	Transport of small molecules
Organic cation transport	Transport of small molecules
Organic cation/anion/zwitterion transport	Transport of small molecules
Ciprofloxacin ADME	Drug ADME
Signalling to RAS	Signal Transduction
p38MAPK events	Signal Transduction
Signalling to ERKs	Signal Transduction
DSCAM interactions	Developmental Biology
Striated Muscle Contraction	Muscle contraction
Synthesis of 15-eicosatetraenoic acid derivatives	Metabolism
Defective PMM2 causes PMM2-CDG	Disease
Synthesis of GDP-mannose	Metabolism of proteins
Diseases associated with glycosylation precursor biosynthesis	Disease
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	DNA Repair
Diseases of DNA repair	Disease
Diseases of DNA Double-Strand Break Repair	Disease
Defective homologous recombination repair (HRR) due to BRCA2 loss of function	Disease
Defective homologous recombination repair (HRR) due to BRCA1 loss of function	Disease
Defective homologous recombination repair (HRR) due to PALB2 loss of function	Disease
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	Disease
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	Disease
Impaired BRCA2 binding to PALB2	Disease
ROS and RNS production in phagocytes	Immune System
Insulin receptor recycling	Signal Transduction
Iron uptake and transport	Transport of small molecules
Transferrin endocytosis and recycling	Transport of small molecules
Activation of BH3-only proteins	Programmed Cell Death
Activation of PUMA and translocation to mitochondria	Programmed Cell Death
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	Gene expression (Transcription)
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	Gene expression (Transcription)
Regulation of TP53 Activity through Association with Co-factors	Gene expression (Transcription)
Synthesis of IP3 and IP4 in the cytosol	Metabolism
Signaling by CSF1 (M-CSF) in myeloid cells	Immune System
NR1D1 (REV-ERBA) represses gene expression	Circadian Clock
p75NTR negatively regulates cell cycle via SC1	Signal Transduction
NOTCH1 Intracellular Domain Regulates Transcription	Signal Transduction
Notch-HLH transcription pathway	Gene expression (Transcription)
RUNX2 regulates osteoblast differentiation	Gene expression (Transcription)
RUNX2 regulates bone development	Gene expression (Transcription)
Loss of function of MECP2 in Rett syndrome	Disease
Pervasive developmental disorders	Disease
Loss of MECP2 binding ability to the NCoR/SMRT complex	Disease
Regulation of MECP2 expression and activity	Gene expression (Transcription)
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	Signal Transduction
Disorders of Developmental Biology	Disease
Disorders of Nervous System Development	Disease
STAT3 nuclear events downstream of ALK signaling	Signal Transduction
SARS-CoV-1 Infection	Disease
Attachment and Entry	Disease
Unblocking of NMDA receptors, glutamate binding and activation	Neuronal System
Synaptic adhesion-like molecules	Neuronal System
Negative regulation of NMDA receptor-mediated neuronal transmission	Neuronal System
Long-term potentiation	Neuronal System
Basigin interactions	Hemostasis
Proton-coupled monocarboxylate transport	Transport of small molecules
Metal ion SLC transporters	Transport of small molecules
Recycling of bile acids and salts	Metabolism
Azathioprine ADME	Drug ADME
Trafficking and processing of endosomal TLR	Immune System
TLR3 deficiency - HSE	Disease
UNC93B1 deficiency - HSE	Disease
TICAM1 deficiency - HSE	Disease
TRAF3 deficiency - HSE	Disease
TLR3-mediated TICAM1-dependent programmed cell death	Immune System
TICAM1-dependent activation of IRF3/IRF7	Immune System
TICAM1,TRAF6-dependent induction of TAK1 complex	Immune System
Meiotic recombination	Cell Cycle
Sialic acid metabolism	Metabolism of proteins
Glycogen storage diseases	Disease
Glycogen synthesis	Metabolism
Glycogen storage disease type 0 (liver GYS2)	Disease
Glycogen storage disease type IV (GBE1)	Disease
Diseases of carbohydrate metabolism	Disease
Glycogen breakdown (glycogenolysis)	Metabolism
Glycogen metabolism	Metabolism
Acyl chain remodelling of PC	Metabolism
Acyl chain remodelling of PS	Metabolism
Acyl chain remodelling of PE	Metabolism
Acyl chain remodelling of PI	Metabolism
Acyl chain remodelling of PG	Metabolism
FGFR2 mutant receptor activation	Disease
Signaling by FGFR	Signal Transduction
MicroRNA (miRNA) biogenesis	Gene expression (Transcription)
PIWI-interacting RNA (piRNA) biogenesis	Gene expression (Transcription)
Signaling by FGFR2	Signal Transduction
Signaling by FGFR2 in disease	Disease
Nucleotide Excision Repair	DNA Repair
Formation of TC-NER Pre-Incision Complex	DNA Repair
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	DNA Repair
Dual incision in TC-NER	DNA Repair
Gap-filling DNA repair synthesis and ligation in TC-NER	DNA Repair
FGFR2 alternative splicing	Signal Transduction
mRNA Splicing - Minor Pathway	Metabolism of RNA
Signaling by FGFR2 IIIa TM	Disease
Inhibition of DNA recombination at telomere	Cell Cycle
FGFR2 ligand binding and activation	Signal Transduction
FGFR1 ligand binding and activation	Signal Transduction
FGFR1b ligand binding and activation	Signal Transduction
FGFR2b ligand binding and activation	Signal Transduction
Activated point mutants of FGFR2	Disease
Phospholipase C-mediated cascade: FGFR1	Signal Transduction
Phospholipase C-mediated cascade; FGFR2	Signal Transduction
Downstream signaling of activated FGFR1	Signal Transduction
SHC-mediated cascade:FGFR1	Signal Transduction
PI-3K cascade:FGFR1	Signal Transduction
FRS-mediated FGFR1 signaling	Signal Transduction
PI-3K cascade:FGFR2	Signal Transduction
Downstream signaling of activated FGFR2	Signal Transduction
SHC-mediated cascade:FGFR2	Signal Transduction
FRS-mediated FGFR2 signaling	Signal Transduction
Negative regulation of FGFR1 signaling	Signal Transduction
Negative regulation of FGFR2 signaling	Signal Transduction
Signaling by FGFR1	Signal Transduction
FGFRL1 modulation of FGFR1 signaling	Signal Transduction
NFE2L2 regulates pentose phosphate pathway genes	Cellular responses to stimuli
Recognition and association of DNA glycosylase with site containing an affected purine	DNA Repair
Base Excision Repair	DNA Repair
Depurination	DNA Repair
Base-Excision Repair, AP Site Formation	DNA Repair
Diseases of Base Excision Repair	Disease
Defective Base Excision Repair Associated with OGG1	Disease
Defective OGG1 Localization	Disease
Recognition and association of DNA glycosylase with site containing an affected pyrimidine	DNA Repair
Cleavage of the damaged pyrimidine 	DNA Repair
Cleavage of the damaged purine	DNA Repair
Displacement of DNA glycosylase by APEX1	DNA Repair
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	DNA Repair
Depyrimidination	DNA Repair
Resolution of Abasic Sites (AP sites)	DNA Repair
Defective OGG1 Substrate Binding	Disease
Defective OGG1 Substrate Processing	Disease
Vitamin D (calciferol) metabolism	Metabolism
Vitamins	Metabolism
Defective CYP27B1 causes VDDR1A	Disease
Activation of AKT2	Signal Transduction
Integrin signaling	Hemostasis
RSK activation	Neuronal System
VEGFR2 mediated vascular permeability	Signal Transduction
VEGFR2 mediated cell proliferation	Signal Transduction
Platelet Aggregation (Plug Formation)	Hemostasis
Estrogen-stimulated signaling through PRKCZ	Signal Transduction
SARS-CoV-1-host interactions	Disease
SARS-CoV-1 targets host intracellular signalling and regulatory pathways	Disease
SARS-CoV-2 targets host intracellular signalling and regulatory pathways	Disease
Antigen Presentation: Folding, assembly and peptide loading of class I MHC	Immune System
NOTCH3 Intracellular Domain Regulates Transcription	Signal Transduction
Elevation of cytosolic Ca2+ levels	Hemostasis
The NLRP3 inflammasome	Immune System
Purinergic signaling in leishmaniasis infection	Disease
Cell recruitment (pro-inflammatory response)	Disease
Ca2+ activated K+ channels	Neuronal System
Modulation by Mtb of host immune system	Disease
TET1,2,3 and TDG demethylate DNA	Gene expression (Transcription)
Sema4D mediated inhibition of cell attachment and migration	Developmental Biology
SIRT1 negatively regulates rRNA expression	Gene expression (Transcription)
N-glycan antennae elongation in the medial/trans-Golgi	Metabolism of proteins
N-Glycan antennae elongation	Metabolism of proteins
RA biosynthesis pathway	Signal Transduction
Invadopodia formation	Extracellular matrix organization
activated TAK1 mediates p38 MAPK activation	Immune System
IRAK2 mediated activation of TAK1 complex	Immune System
SARS-CoV-1 activates/modulates innate immune responses	Disease
PRC2 methylates histones and DNA	Gene expression (Transcription)
Release of apoptotic factors from the mitochondria	Programmed Cell Death
Transport and synthesis of PAPS	Metabolism
Selenoamino acid metabolism	Metabolism
Metabolism of ingested H2SeO4 and H2SeO3 into H2Se	Metabolism
Proline catabolism	Metabolism
MET Receptor Activation	Signal Transduction
Signaling by MST1	Signal Transduction
Digestion of dietary carbohydrate	Digestion and absorption
Keratan sulfate/keratin metabolism	Metabolism
Keratan sulfate biosynthesis	Metabolism
O-linked glycosylation of mucins	Metabolism of proteins
Attachment of GPI anchor to uPAR	Metabolism of proteins
Caspase activation via Dependence Receptors in the absence of ligand	Programmed Cell Death
Inactivation of CDC42 and RAC1	Developmental Biology
PKA-mediated phosphorylation of CREB	Signal Transduction
Calmodulin induced events	Signal Transduction
Ca-dependent events	Signal Transduction
CaM pathway	Signal Transduction
PLC beta mediated events	Signal Transduction
DAG and IP3 signaling	Signal Transduction
Glucagon signaling in metabolic regulation	Metabolism
PKA activation	Signal Transduction
PKA activation in glucagon signalling	Metabolism
Adenylate cyclase activating pathway	Signal Transduction
Synthesis of pyrophosphates in the cytosol	Metabolism
Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells	Developmental Biology
Alpha-protein kinase 1 signaling pathway	Immune System
Signaling by activated point mutants of FGFR3	Disease
FGFR3 ligand binding and activation	Signal Transduction
FGFR4 ligand binding and activation	Signal Transduction
FGFR3c ligand binding and activation	Signal Transduction
FGFR2c ligand binding and activation	Signal Transduction
FGFR3 mutant receptor activation	Disease
Phospholipase C-mediated cascade; FGFR3	Signal Transduction
Phospholipase C-mediated cascade; FGFR4	Signal Transduction
SHC-mediated cascade:FGFR3	Signal Transduction
FRS-mediated FGFR3 signaling	Signal Transduction
Downstream signaling of activated FGFR3	Signal Transduction
PI-3K cascade:FGFR3	Signal Transduction
FRS-mediated FGFR4 signaling	Signal Transduction
Downstream signaling of activated FGFR4	Signal Transduction
SHC-mediated cascade:FGFR4	Signal Transduction
PI-3K cascade:FGFR4	Signal Transduction
Negative regulation of FGFR3 signaling	Signal Transduction
Negative regulation of FGFR4 signaling	Signal Transduction
Signaling by FGFR3	Signal Transduction
Signaling by FGFR4	Signal Transduction
Signaling by FGFR3 in disease	Disease
Ligand-receptor interactions	Signal Transduction
HHAT G278V doesn't palmitoylate Hh-Np	Disease
Transcriptional regulation of testis differentiation	Developmental Biology
Cytosolic tRNA aminoacylation	Metabolism of proteins
tRNA Aminoacylation	Metabolism of proteins
Ovarian tumor domain proteases	Metabolism of proteins
RHOBTB2 GTPase cycle	Signal Transduction
RHOBTB1 GTPase cycle	Signal Transduction
RHOBTB GTPase Cycle	Signal Transduction
Voltage gated Potassium channels	Neuronal System
ATF6 (ATF6-alpha) activates chaperones	Cellular responses to stimuli
CREB3 factors activate genes	Cellular responses to stimuli
Assembly of active LPL and LIPC lipase complexes	Transport of small molecules
Plasma lipoprotein remodeling	Transport of small molecules
Synthesis, secretion, and deacylation of Ghrelin	Metabolism of proteins
Transcriptional regulation of pluripotent stem cells	Developmental Biology
Energy dependent regulation of mTOR by LKB1-AMPK	Signal Transduction
Defective LARGE causes MDDGA6 and MDDGB6	Disease
Interaction With Cumulus Cells And The Zona Pellucida	Reproduction
Multifunctional anion exchangers	Transport of small molecules
Defective SLC26A4 causes Pendred syndrome (PDS)	Disease
Activation of BIM and translocation to mitochondria 	Programmed Cell Death
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	Programmed Cell Death
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	Disease
Neurodegenerative Diseases	Disease
RUNX3 regulates BCL2L11 (BIM) transcription	Gene expression (Transcription)
FOXO-mediated transcription of cell death genes	Gene expression (Transcription)
Diseases of programmed cell death	Disease
Defective Intrinsic Pathway for Apoptosis	Disease
Regulation of FOXO transcriptional activity by acetylation	Gene expression (Transcription)
Reactions specific to the complex N-glycan synthesis pathway	Metabolism of proteins
Hormone ligand-binding receptors	Signal Transduction
Signaling by NTRK2 (TRKB)	Signal Transduction
Activated NTRK2 signals through FRS2 and FRS3	Signal Transduction
Reversible hydration of carbon dioxide	Metabolism
Spry regulation of FGF signaling	Signal Transduction
Purine catabolism	Metabolism
Nucleotide catabolism	Metabolism
Pyroptosis	Programmed Cell Death
Translation of Replicase and Assembly of the Replication Transcription Complex	Disease
Translation of Replicase and Assembly of the Replication Transcription Complex	Disease
Activation of RAC1	Developmental Biology
Regulation of cortical dendrite branching	Developmental Biology
Tyrosine catabolism	Metabolism
Phenylalanine and tyrosine metabolism	Metabolism
AMPK inhibits chREBP transcriptional activation activity	Metabolism
Activation of PPARGC1A (PGC-1alpha) by phosphorylation	Organelle biogenesis and maintenance
Lipophagy	Autophagy
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Disease
Nef mediated downregulation of MHC class I complex cell surface expression	Disease
The role of Nef in HIV-1 replication and disease pathogenesis	Disease
MASTL Facilitates Mitotic Progression	Cell Cycle
Processing of Capped Intronless Pre-mRNA	Metabolism of RNA
Processing of Intronless Pre-mRNAs	Metabolism of RNA
Signaling by cytosolic PDGFRA and PDGFRB fusion proteins	Disease
Hyaluronan uptake and degradation	Metabolism
Blood group systems biosynthesis	Metabolism
Lewis blood group biosynthesis	Metabolism
Glycogen storage disease type Ib (SLC37A4)	Disease
CLEC7A (Dectin-1) induces NFAT activation	Immune System
Ribavirin ADME	Drug ADME
Anchoring fibril formation	Extracellular matrix organization
Crosslinking of collagen fibrils	Extracellular matrix organization
Apoptotic cleavage of cellular proteins	Programmed Cell Death
Caspase-mediated cleavage of cytoskeletal proteins	Programmed Cell Death
E2F-enabled inhibition of pre-replication complex formation	Cell Cycle
E2F mediated regulation of DNA replication	Cell Cycle
Assembly of the ORC complex at the origin of replication	DNA Replication
CDC6 association with the ORC:origin complex	DNA Replication
VEGF ligand-receptor interactions	Signal Transduction
VEGF binds to VEGFR leading to receptor dimerization	Signal Transduction
ARL13B-mediated ciliary trafficking of INPP5E	Organelle biogenesis and maintenance
RAS processing	Signal Transduction
Suppression of apoptosis	Disease
Suppression of autophagy	Disease
Latent infection - Other responses of Mtb to phagocytosis	Disease
Tolerance by Mtb to nitric oxide produced by macrophages	Disease
Establishment of Sister Chromatid Cohesion	Cell Cycle
Cohesin Loading onto Chromatin	Cell Cycle
Mitotic Telophase/Cytokinesis	Cell Cycle
NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose	Signal Transduction
Signaling by activated point mutants of FGFR1	Disease
FGFR3b ligand binding and activation	Signal Transduction
FGFR1c ligand binding and activation	Signal Transduction
Mitophagy	Autophagy
PINK1-PRKN Mediated Mitophagy	Autophagy
Josephin domain DUBs	Metabolism of proteins
RHOT2 GTPase cycle	Signal Transduction
RHOT1 GTPase cycle	Signal Transduction
Miro GTPase Cycle	Signal Transduction
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Signal Transduction
Regulation of FZD by ubiquitination	Signal Transduction
Signaling by RNF43 mutants	Disease
Trafficking of AMPA receptors	Neuronal System
Glutamate binding, activation of AMPA receptors and synaptic plasticity	Neuronal System
LGI-ADAM interactions	Developmental Biology
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	Developmental Biology
Linoleic acid (LA) metabolism	Metabolism
Defective pyroptosis	Disease
NrCAM interactions	Developmental Biology
N-glycan trimming and elongation in the cis-Golgi	Metabolism of proteins
Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2	Metabolism of proteins
POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation	Developmental Biology
Intracellular metabolism of fatty acids regulates insulin secretion	Metabolism
Defective AMN causes MGA1	Disease
Defective CUBN causes MGA1	Disease
HDL clearance	Transport of small molecules
Gamma carboxylation, hypusine formation and arylsulfatase activation	Metabolism of proteins
Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)	Disease
Defective factor VIII causes hemophilia A	Disease
Diseases of hemostasis	Disease
Defective F8 sulfation at Y1699	Disease
Interactions of Tat with host cellular proteins	Disease
MyD88 deficiency (TLR5)	Disease
IRAK4 deficiency (TLR5)	Disease
Glucuronidation	Metabolism
Chaperone Mediated Autophagy	Autophagy
HDR through Single Strand Annealing (SSA)	DNA Repair
Impaired BRCA2 binding to RAD51	Disease
Translesion synthesis by REV1	DNA Repair
Translesion synthesis by POLK	DNA Repair
Translesion synthesis by POLI	DNA Repair
MAPK3 (ERK1) activation	Signal Transduction
RAF-independent MAPK1/3 activation	Signal Transduction
MAPK1 (ERK2) activation	Signal Transduction
Prolactin receptor signaling	Immune System
IL-6-type cytokine receptor ligand interactions	Immune System
Signaling by moderate kinase activity BRAF mutants	Disease
Signaling by RAS mutants	Disease
Paradoxical activation of RAF signaling by kinase inactive BRAF	Disease
Interleukin-20 family signaling	Immune System
Interleukin-35 Signalling	Immune System
Interleukin-23 signaling	Immune System
Interleukin-27 signaling	Immune System
Erythropoietin activates Phospholipase C gamma (PLCG)	Signal Transduction
Erythropoietin activates STAT5	Signal Transduction
Erythropoietin activates RAS	Signal Transduction
Signaling downstream of RAS mutants	Disease
Signaling by RAF1 mutants	Disease
Protein methylation	Metabolism of proteins
Formation of the active cofactor, UDP-glucuronate	Metabolism
ATP sensitive Potassium channels	Neuronal System
Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome	Disease
Adherens junctions interactions	Cell-Cell communication
InlA-mediated entry of Listeria monocytogenes into host cells	Disease
Activation of the phototransduction cascade	Sensory Perception
Sodium/Calcium exchangers	Transport of small molecules
Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)	Disease
Acyl chain remodeling of CL	Metabolism
HCN channels	Neuronal System
Synthesis of dolichyl-phosphate mannose	Metabolism of proteins
Defective DPM1 causes DPM1-CDG	Disease
Defective DPM3 causes DPM3-CDG	Disease
Defective DPM2 causes DPM2-CDG	Disease
Golgi Cisternae Pericentriolar Stack Reorganization	Cell Cycle
Vitamin B1 (thiamin) metabolism	Metabolism
Packaging Of Telomere Ends	Cell Cycle
Condensation of Prophase Chromosomes	Cell Cycle
DNA Damage/Telomere Stress Induced Senescence	Cellular responses to stimuli
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	Gene expression (Transcription)
DNA methylation	Gene expression (Transcription)
Nonhomologous End-Joining (NHEJ)	DNA Repair
RNA Polymerase I Promoter Opening	Gene expression (Transcription)
Transcriptional regulation of granulopoiesis	Developmental Biology
Regulation of glycolysis by fructose 2,6-bisphosphate metabolism	Metabolism
Calcitonin-like ligand receptors	Signal Transduction
Ceramide signalling	Signal Transduction
TNFR1-mediated ceramide production	Signal Transduction
RORA activates gene expression	Circadian Clock
Endosomal/Vacuolar pathway	Immune System
Activation of Matrix Metalloproteinases	Extracellular matrix organization
Miscellaneous transport and binding events	Transport of small molecules
HDR through MMEJ (alt-NHEJ)	DNA Repair
Sensing of DNA Double Strand Breaks	DNA Repair
Keratan sulfate degradation	Metabolism
Defective CHST6 causes MCDC1	Disease
Defective ST3GAL3 causes MCT12 and EIEE15	Disease
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)	Disease
Phase 0 - rapid depolarisation	Muscle contraction
Mitochondrial ABC transporters	Transport of small molecules
Cytosolic iron-sulfur cluster assembly	Metabolism
SUMOylation of transcription factors	Metabolism of proteins
Regulation of commissural axon pathfinding by SLIT and ROBO	Developmental Biology
RHOH GTPase cycle	Signal Transduction
Role of ABL in ROBO-SLIT signaling	Developmental Biology
Receptor-type tyrosine-protein phosphatases	Neuronal System
Formation of xylulose-5-phosphate	Metabolism
Signaling by LRP5 mutants 	Disease
Ubiquinol biosynthesis	Metabolism
Metabolism of cofactors	Metabolism
Synthesis of 12-eicosatetraenoic acid derivatives	Metabolism
Diseases associated with N-glycosylation of proteins	Disease
Defective MPDU1 causes CDG-1f	Disease
Phosphate bond hydrolysis by NTPDase proteins	Metabolism
NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis	Signal Transduction
TBC/RABGAPs	Vesicle-mediated transport
Receptor Mediated Mitophagy	Autophagy
Amino acid transport across the plasma membrane	Transport of small molecules
Unwinding of DNA	Cell Cycle
DNA strand elongation	Cell Cycle
G1/S-Specific Transcription	Cell Cycle
Cristae formation	Organelle biogenesis and maintenance
Mitochondrial calcium ion transport	Transport of small molecules
Processing of SMDT1	Transport of small molecules
Integration of provirus	Disease
Early Phase of HIV Life Cycle	Disease
2-LTR circle formation	Disease
Integration of viral DNA into host genomic DNA	Disease
Autointegration results in viral DNA circles	Disease
APOBEC3G mediated resistance to HIV-1 infection	Disease
HSF1 activation	Cellular responses to stimuli
Attenuation phase	Cellular responses to stimuli
HSF1-dependent transactivation	Cellular responses to stimuli
PTK6 Regulates Proteins Involved in RNA Processing	Signal Transduction
Initiation of Nuclear Envelope (NE) Reformation	Cell Cycle
Reelin signalling pathway	Developmental Biology
Small interfering RNA (siRNA) biogenesis	Gene expression (Transcription)
Platelet Adhesion to exposed collagen	Hemostasis
ERK/MAPK targets	Immune System
CREB phosphorylation	Immune System
MAPK targets/ Nuclear events mediated by MAP kinases	Immune System
CD209 (DC-SIGN) signaling	Immune System
Signaling by Activin	Signal Transduction
Threonine catabolism	Metabolism
TNFR1-induced proapoptotic signaling	Signal Transduction
eNOS activation	Metabolism
Regulation of TP53 Expression	Gene expression (Transcription)
Postmitotic nuclear pore complex (NPC) reformation	Cell Cycle
Aspartate and asparagine metabolism	Metabolism
TRP channels	Transport of small molecules
Metabolism of Angiotensinogen to Angiotensins	Metabolism of proteins
Prednisone ADME	Drug ADME
Response of EIF2AK1 (HRI) to heme deficiency	Cellular responses to stimuli
Cholesterol biosynthesis	Metabolism
Cholesterol biosynthesis via desmosterol	Metabolism
Cholesterol biosynthesis via lathosterol	Metabolism
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	Disease
NADPH regeneration	Metabolism
NFE2L2 regulating TCA cycle genes	Cellular responses to stimuli
Synthesis of bile acids and bile salts via 27-hydroxycholesterol	Metabolism
Defective CYP7B1 causes SPG5A and CBAS3	Disease
Metabolism of folate and pterines	Metabolism
Acyl chain remodeling of DAG and TAG	Metabolism
Triglyceride biosynthesis	Metabolism
The retinoid cycle in cones (daylight vision)	Sensory Perception
Effects of PIP2 hydrolysis	Hemostasis
CD28 dependent Vav1 pathway	Immune System
Formation of Incision Complex in GG-NER	DNA Repair
Global Genome Nucleotide Excision Repair (GG-NER)	DNA Repair
Carnitine synthesis	Metabolism
Formation of ATP by chemiosmotic coupling	Metabolism
Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)	Disease
SRP-dependent cotranslational protein targeting to membrane	Metabolism of proteins
Regulation of TP53 Activity through Acetylation	Gene expression (Transcription)
Synthesis of glycosylphosphatidylinositol (GPI)	Metabolism of proteins
Recognition of DNA damage by PCNA-containing replication complex	DNA Repair
Synthesis of UDP-N-acetyl-glucosamine	Metabolism of proteins
SLIT2:ROBO1 increases RHOA activity	Developmental Biology
Signaling by plasma membrane FGFR1 fusions	Disease
Glutamate and glutamine metabolism	Metabolism
Metabolism of porphyrins	Metabolism
Heme degradation	Metabolism
Atorvastatin ADME	Drug ADME
Transport of organic anions	Transport of small molecules
Trafficking of GluR2-containing AMPA receptors	Neuronal System
Nef Mediated CD4 Down-regulation	Disease
Retrograde neurotrophin signalling	Signal Transduction
Nef Mediated CD8 Down-regulation	Disease
WNT5A-dependent internalization of FZD2, FZD5 and ROR2	Signal Transduction
VLDLR internalisation and degradation	Transport of small molecules
Pyrimidine catabolism	Metabolism
Methylation of MeSeH for excretion	Metabolism
Polo-like kinase mediated events	Cell Cycle
Condensation of Prometaphase Chromosomes	Cell Cycle
Activation of NIMA Kinases NEK9, NEK6, NEK7	Cell Cycle
G2/M DNA replication checkpoint	Cell Cycle
TWIK related potassium channel (TREK)	Neuronal System
Regulation of gene expression in beta cells	Developmental Biology
Lysosphingolipid and LPA receptors	Signal Transduction
Pregnenolone biosynthesis	Metabolism
Netrin mediated repulsion signals	Developmental Biology
Retinoid cycle disease events	Disease
Diseases associated with visual transduction	Disease
Diseases of the neuronal system	Disease
Synthesis of PIPs at the ER membrane	Metabolism
Defective ABCC6 causes PXE	Disease
Interleukin-18 signaling	Immune System
Mitochondrial Uncoupling	Metabolism
The fatty acid cycling model	Metabolism
The proton buffering model	Metabolism
Activation of RAS in B cells	Immune System
Rap1 signalling	Immune System
XAV939 stabilizes AXIN	Disease
Myoclonic epilepsy of Lafora	Disease
Pentose phosphate pathway	Metabolism
Defective PAPSS2 causes SEMD-PA	Disease
Defective ABCB11 causes PFIC2 and BRIC2	Disease
Mitochondrial tRNA aminoacylation	Metabolism of proteins
Elastic fibre formation	Extracellular matrix organization
Molecules associated with elastic fibres	Extracellular matrix organization
Molybdenum cofactor biosynthesis	Metabolism
Loss of Function of SMAD2/3 in Cancer	Disease
Signaling by TGF-beta Receptor Complex in Cancer	Disease
SMAD2/3 Phosphorylation Motif Mutants in Cancer	Disease
TGFBR1 KD Mutants in Cancer	Disease
Loss of Function of TGFBR1 in Cancer	Disease
Type II Na+/Pi cotransporters	Transport of small molecules
Sodium-coupled phosphate cotransporters	Transport of small molecules
Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)	Disease
Surfactant metabolism	Metabolism of proteins
Defective SLC34A2 causes PALM	Disease
Diseases associated with surfactant metabolism	Disease
ATF4 activates genes in response to endoplasmic reticulum  stress	Cellular responses to stimuli
PERK regulates gene expression	Cellular responses to stimuli
KSRP (KHSRP) binds and destabilizes mRNA	Metabolism of RNA
Depolymerisation of the Nuclear Lamina	Cell Cycle
Defective ABCA1 causes TGD	Disease
HDL assembly	Transport of small molecules
Plasma lipoprotein assembly	Transport of small molecules
Defective SLC2A10 causes arterial tortuosity syndrome (ATS)	Disease
Nicotinate metabolism	Metabolism
Sulfide oxidation to sulfate	Metabolism
Degradation of cysteine and homocysteine	Metabolism
Sulfur amino acid metabolism	Metabolism
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	Gene expression (Transcription)
Activation of the TFAP2 (AP-2) family of transcription factors	Gene expression (Transcription)
Role of second messengers in netrin-1 signaling	Developmental Biology
Antagonism of Activin by Follistatin	Signal Transduction
Inhibition of Host mRNA Processing and RNA Silencing	Disease
Calcineurin activates NFAT	Immune System
betaKlotho-mediated ligand binding	Signal Transduction
Interleukin-33 signaling	Immune System
TRAF3-dependent IRF activation pathway	Immune System
TRAF6 mediated IRF7 activation	Immune System
Acetylcholine regulates insulin secretion	Metabolism
Synthesis of dolichyl-phosphate-glucose	Metabolism of proteins
RUNX2 regulates genes involved in cell migration	Gene expression (Transcription)
Interleukin-37 signaling	Immune System
DNA Damage Recognition in GG-NER	DNA Repair
G0 and Early G1	Cell Cycle
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes	Cell Cycle
Vitamin C (ascorbate) metabolism	Metabolism
Ethanol oxidation	Metabolism
Fructose metabolism	Metabolism
Fructose catabolism	Metabolism
Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	Metabolism
Phenylketonuria	Disease
Phenylalanine metabolism	Metabolism
Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)	Disease
