OG	Human	Species	Human_gene	Gene
11474	H. sapiens	X. laevis	NDUFAF5	ndufaf5
11474	H. sapiens	R. norvegicus	NDUFAF5	Ndufaf5
11474	H. sapiens	D. melanogaster	NDUFAF5	CG8067
11474	H. sapiens	M. musculus	NDUFAF5	Ndufaf5
11474	H. sapiens	C. elegans	NDUFAF5	K09E4.3
11475	H. sapiens	R. norvegicus	APOO	Apoo
11475	H. sapiens	X. laevis	APOO	apoo
11475	H. sapiens	M. musculus	APOO	Apoo
11476	H. sapiens	X. laevis	MRPL38	mrpl38
11476	H. sapiens	M. musculus	MRPL38	Mrpl38
11476	H. sapiens	D. melanogaster	MRPL38	mRpL38
11476	H. sapiens	R. norvegicus	MRPL38	Mrpl38
11478	H. sapiens	D. melanogaster	FAM188A	CG7332
11478	H. sapiens	R. norvegicus	FAM188A	Fam188a
11478	H. sapiens	X. laevis	FAM188A	fam188a
11478	H. sapiens	M. musculus	FAM188A	Fam188a
11479	H. sapiens	R. norvegicus	ARL2BP	Arl2bp
11479	H. sapiens	X. laevis	ARL2BP	arl2bp
11479	H. sapiens	M. musculus	ARL2BP	Arl2bp
11481	H. sapiens	R. norvegicus	MFN1	Mfn1
11481	H. sapiens	M. musculus	MFN1	Mfn1
11481	H. sapiens	X. laevis	MFN1	mfn1
11482	H. sapiens	X. laevis	CCDC127	ccdc127
11482	H. sapiens	R. norvegicus	CCDC127	Ccdc127
11482	H. sapiens	M. musculus	CCDC127	Ccdc127
11483	H. sapiens	R. norvegicus	DERL1	Derl1
11483	H. sapiens	M. musculus	DERL1	Derl1
11483	H. sapiens	D. melanogaster	DERL1	Der-1
11483	H. sapiens	C. elegans	DERL1	cup-2
11483	H. sapiens	X. laevis	DERL1	derl1
11484	H. sapiens	X. laevis	ECHDC3	echdc3
11484	H. sapiens	D. melanogaster	ECHDC3	CG6984
11484	H. sapiens	R. norvegicus	ECHDC3	Echdc3
11484	H. sapiens	M. musculus	ECHDC3	Echdc3
11484	H. sapiens	C. elegans	ECHDC3	ech-2
11486	H. sapiens	R. norvegicus	CMTM3	Cmtm3
11486	H. sapiens	X. laevis	CMTM3	cmtm3
11486	H. sapiens	M. musculus	CMTM3	Cmtm3
11488	H. sapiens	R. norvegicus	SMTNL1	Smtnl1
11488	H. sapiens	M. musculus	SMTNL1	Smtnl1
11489	H. sapiens	R. norvegicus	FBLN7	Fbln7
11489	H. sapiens	X. laevis	FBLN7	fbln7
11489	H. sapiens	M. musculus	FBLN7	Fbln7
11490	H. sapiens	R. norvegicus	FAM13C	Fam13c
11490	H. sapiens	X. laevis	FAM13C	LOC101730440
11490	H. sapiens	M. musculus	FAM13C	Fam13c
11491	H. sapiens	X. laevis	KIF23	kif23
11491	H. sapiens	D. melanogaster	KIF23	pav
11491	H. sapiens	C. elegans	KIF23	zen-4
11491	H. sapiens	M. musculus	KIF23	Kif23
11491	H. sapiens	R. norvegicus	KIF23	Kif23
11492	H. sapiens	M. musculus	TMEM79	Tmem79
11492	H. sapiens	R. norvegicus	TMEM79	Tmem79
11495	H. sapiens	X. laevis	KATNBL1	katnbl1
11495	H. sapiens	R. norvegicus	KATNBL1	Katnbl1
11495	H. sapiens	M. musculus	KATNBL1	Katnbl1
11497	H. sapiens	X. laevis	HDHD3	hdhd3
11497	H. sapiens	R. norvegicus	HDHD3	Hdhd3
11497	H. sapiens	C. elegans	HDHD3	K01G5.10
11497	H. sapiens	M. musculus	HDHD3	Hdhd3
11497	H. sapiens	D. melanogaster	HDHD3	CG15912
11498	H. sapiens	X. laevis	CCDC132	ccdc132
11498	H. sapiens	D. melanogaster	CCDC132	CG4996
11498	H. sapiens	C. elegans	CCDC132	C44B9.1
11498	H. sapiens	M. musculus	CCDC132	Ccdc132
11498	H. sapiens	R. norvegicus	CCDC132	Ccdc132
11500	H. sapiens	M. musculus	MXRA8	Mxra8
11500	H. sapiens	R. norvegicus	MXRA8	Mxra8
11500	H. sapiens	X. laevis	MXRA8	mxra8
11501	H. sapiens	R. norvegicus	STARD3NL	Stard3nl
11501	H. sapiens	X. laevis	STARD3NL	stard3nl
11501	H. sapiens	M. musculus	STARD3NL	Stard3nl
11505	H. sapiens	X. laevis	C2orf40	c2orf40
11505	H. sapiens	R. norvegicus	C2orf40	RGD1305645
11505	H. sapiens	M. musculus	C2orf40	1500015O10Rik
11506	H. sapiens	R. norvegicus	KY	Ky
11506	H. sapiens	X. laevis	KY	LOC100494696
11506	H. sapiens	M. musculus	KY	Ky
11507	H. sapiens	R. norvegicus	FAM134A	Fam134a
11507	H. sapiens	M. musculus	FAM134A	Fam134a
11507	H. sapiens	X. laevis	FAM134A	fam134a
11509	H. sapiens	X. laevis	CCDC28B	ccdc28b
11509	H. sapiens	R. norvegicus	CCDC28B	Ccdc28b
11509	H. sapiens	M. musculus	CCDC28B	Ccdc28b
11511	H. sapiens	R. norvegicus	PPDPF	Ppdpf
11511	H. sapiens	X. laevis	PPDPF	ppdpf
11511	H. sapiens	M. musculus	PPDPF	Ppdpf
11513	H. sapiens	R. norvegicus	FKRP	Fkrp
11513	H. sapiens	M. musculus	FKRP	Fkrp
11513	H. sapiens	X. laevis	FKRP	fkrp
11513	H. sapiens	D. melanogaster	FKRP	CG15651
11515	H. sapiens	R. norvegicus	TNIP2	Tnip2
11515	H. sapiens	M. musculus	TNIP2	Tnip2
11515	H. sapiens	X. laevis	TNIP2	tnip2
11516	H. sapiens	R. norvegicus	PLEKHF1	Plekhf1
11516	H. sapiens	M. musculus	PLEKHF1	Plekhf1
11516	H. sapiens	X. laevis	PLEKHF1	plekhf1
11517	H. sapiens	R. norvegicus	MFSD11	Mfsd11
11517	H. sapiens	M. musculus	MFSD11	Mfsd11
11517	H. sapiens	C. elegans	MFSD11	C27C12.4
11517	H. sapiens	X. laevis	MFSD11	mfsd11
11517	H. sapiens	D. melanogaster	MFSD11	CG18549
11520	H. sapiens	D. melanogaster	LENG1	CG12818
11520	H. sapiens	R. norvegicus	LENG1	Leng1
11520	H. sapiens	X. laevis	LENG1	leng1
11520	H. sapiens	M. musculus	LENG1	Leng1
11522	H. sapiens	X. laevis	PRR15L	prr15l
11522	H. sapiens	M. musculus	PRR15L	Prr15l
11522	H. sapiens	R. norvegicus	PRR15L	Prr15l
11525	H. sapiens	M. musculus	C19orf57	4930432K21Rik
11525	H. sapiens	R. norvegicus	C19orf57	RGD1306072
11526	H. sapiens	C. elegans	CRELD2	F09E8.2
11526	H. sapiens	X. laevis	CRELD2	LOC100497878
11526	H. sapiens	D. melanogaster	CRELD2	CG11377
11526	H. sapiens	R. norvegicus	CRELD2	Creld2
11526	H. sapiens	M. musculus	CRELD2	Creld2
11529	H. sapiens	R. norvegicus	SLC27A3	Slc27a3
11529	H. sapiens	M. musculus	SLC27A3	Slc27a3
11530	H. sapiens	M. musculus	BRCC3	Brcc3
11530	H. sapiens	X. laevis	BRCC3	brcc3
11530	H. sapiens	R. norvegicus	BRCC3	Brcc3
11531	H. sapiens	X. laevis	FSD1	fsd1
11531	H. sapiens	M. musculus	FSD1	Fsd1
11532	H. sapiens	M. musculus	TMEM43	Tmem43
11532	H. sapiens	X. laevis	TMEM43	tmem43
11532	H. sapiens	D. melanogaster	TMEM43	CG8111
11532	H. sapiens	R. norvegicus	TMEM43	Tmem43
11533	H. sapiens	R. norvegicus	THOC6	Thoc6
11533	H. sapiens	X. laevis	THOC6	LOC100498236
11533	H. sapiens	M. musculus	THOC6	Thoc6
11533	H. sapiens	D. melanogaster	THOC6	thoc6
11535	H. sapiens	M. musculus	NDUFS7	Ndufs7
11535	H. sapiens	R. norvegicus	NDUFS7	Ndufs7
11535	H. sapiens	X. laevis	NDUFS7	ndufs7
11535	H. sapiens	C. elegans	NDUFS7	nduf-7
11535	H. sapiens	D. melanogaster	NDUFS7	CG9172
11536	H. sapiens	M. musculus	WT1	Wt1
11536	H. sapiens	R. norvegicus	WT1	Wt1
11536	H. sapiens	X. laevis	WT1	wt1
11538	H. sapiens	D. melanogaster	UBXN6	Gint3
11538	H. sapiens	X. laevis	UBXN6	ubxn6
11538	H. sapiens	C. elegans	UBXN6	ubxn-6
11538	H. sapiens	M. musculus	UBXN6	Ubxn6
11538	H. sapiens	R. norvegicus	UBXN6	Ubxn6
11542	H. sapiens	R. norvegicus	SOST	Sost
11542	H. sapiens	M. musculus	SOST	Sost
11544	H. sapiens	X. laevis	SUN1	sun1
11544	H. sapiens	R. norvegicus	SUN1	Sun1
11544	H. sapiens	M. musculus	SUN1	Sun1
11545	H. sapiens	R. norvegicus	LUZP1	Luzp1
11545	H. sapiens	M. musculus	LUZP1	Luzp1
11546	H. sapiens	R. norvegicus	CCDC23	Ccdc23
11546	H. sapiens	M. musculus	CCDC23	Ccdc23
11548	H. sapiens	M. musculus	ZNF319	Zfp319
11548	H. sapiens	X. laevis	ZNF319	znf319
11548	H. sapiens	R. norvegicus	ZNF319	Zfp319
11550	H. sapiens	C. elegans	GLTPD1	tag-296
11550	H. sapiens	M. musculus	GLTPD1	Gltpd1
11550	H. sapiens	R. norvegicus	GLTPD1	Gltpd1
11550	H. sapiens	D. melanogaster	GLTPD1	CG30392
11550	H. sapiens	X. laevis	GLTPD1	gltpd1
11551	H. sapiens	M. musculus	C6orf62	BC005537
11551	H. sapiens	X. laevis	C6orf62	c6orf62
11553	H. sapiens	R. norvegicus	WBSCR27	Wbscr27
11553	H. sapiens	M. musculus	WBSCR27	Wbscr27
11553	H. sapiens	X. laevis	WBSCR27	wbscr27
11555	H. sapiens	R. norvegicus	IRF2BPL	Irf2bpl
11555	H. sapiens	M. musculus	IRF2BPL	Irf2bpl
11555	H. sapiens	X. laevis	IRF2BPL	irf2bpl
11556	H. sapiens	X. laevis	PRDM14	prdm14
11556	H. sapiens	R. norvegicus	PRDM14	LOC100365184
11556	H. sapiens	M. musculus	PRDM14	Prdm14
11558	H. sapiens	R. norvegicus	LRFN3	Lrfn3
11558	H. sapiens	M. musculus	LRFN3	Lrfn3
11558	H. sapiens	X. laevis	LRFN3	LOC100486910
11561	H. sapiens	M. musculus	FYCO1	Fyco1
11561	H. sapiens	R. norvegicus	FYCO1	Fyco1
11563	H. sapiens	M. musculus	PAGR1	Pagr1a
11563	H. sapiens	X. laevis	PAGR1	pagr1
11564	H. sapiens	R. norvegicus	FAM65A	Fam65a
11564	H. sapiens	X. laevis	FAM65A	fam65a
11564	H. sapiens	M. musculus	FAM65A	Fam65a
11565	H. sapiens	X. laevis	C2orf47	c2orf47
11565	H. sapiens	R. norvegicus	C2orf47	MGC94335
11565	H. sapiens	M. musculus	C2orf47	9430016H08Rik
11566	H. sapiens	X. laevis	NKAIN1	nkain1
11566	H. sapiens	M. musculus	NKAIN1	Nkain1
11566	H. sapiens	R. norvegicus	NKAIN1	Nkain1
11567	H. sapiens	D. melanogaster	GCC1	CG10703
11567	H. sapiens	M. musculus	GCC1	Gcc1
11567	H. sapiens	R. norvegicus	GCC1	Gcc1
11569	H. sapiens	X. laevis	TTC13	ttc13
11569	H. sapiens	R. norvegicus	TTC13	Ttc13
11569	H. sapiens	M. musculus	TTC13	Ttc13
11571	H. sapiens	R. norvegicus	CDC73	Cdc73
11571	H. sapiens	C. elegans	CDC73	F35F11.1
11571	H. sapiens	D. melanogaster	CDC73	hyx
11571	H. sapiens	X. laevis	CDC73	cdc73
11571	H. sapiens	M. musculus	CDC73	Cdc73
11572	H. sapiens	R. norvegicus	SPAG16	Spag16
11572	H. sapiens	X. laevis	SPAG16	spag16
11572	H. sapiens	M. musculus	SPAG16	Spag16
11574	H. sapiens	M. musculus	CHPF	Chpf
11574	H. sapiens	C. elegans	CHPF	mig-22
11574	H. sapiens	R. norvegicus	CHPF	Chpf
11574	H. sapiens	D. melanogaster	CHPF	CG43313
11574	H. sapiens	X. laevis	CHPF	chpf
11575	H. sapiens	M. musculus	CARS2	Cars2
11575	H. sapiens	D. melanogaster	CARS2	CG8257
11575	H. sapiens	X. laevis	CARS2	LOC100498149
11575	H. sapiens	R. norvegicus	CARS2	Cars2
11576	H. sapiens	R. norvegicus	MUL1	Mul1
11576	H. sapiens	M. musculus	MUL1	Mul1
11576	H. sapiens	X. laevis	MUL1	mul1
11577	H. sapiens	R. norvegicus	SAP130	Sap130
11577	H. sapiens	M. musculus	SAP130	Sap130
11577	H. sapiens	X. laevis	SAP130	LOC100127690
11578	H. sapiens	R. norvegicus	RNF219	Rnf219
11578	H. sapiens	X. laevis	RNF219	rnf219
11578	H. sapiens	M. musculus	RNF219	Rnf219
11579	H. sapiens	X. laevis	CEP97	cep97
11579	H. sapiens	M. musculus	CEP97	Cep97
11579	H. sapiens	R. norvegicus	CEP97	Cep97
11582	H. sapiens	M. musculus	CERS4	Cers4
11582	H. sapiens	X. laevis	CERS4	cers4
11582	H. sapiens	R. norvegicus	CERS4	Cers4
11583	H. sapiens	X. laevis	PGBD5	pgbd5
11583	H. sapiens	M. musculus	PGBD5	Pgbd5
11583	H. sapiens	R. norvegicus	PGBD5	Pgbd5
11584	H. sapiens	R. norvegicus	FAM118B	Fam118b
11584	H. sapiens	M. musculus	FAM118B	Fam118b
11584	H. sapiens	X. laevis	FAM118B	fam118b
11587	H. sapiens	D. melanogaster	ACSS3	CG6432
11587	H. sapiens	R. norvegicus	ACSS3	Acss3
11587	H. sapiens	M. musculus	ACSS3	Acss3
11587	H. sapiens	X. laevis	ACSS3	acss3
11589	H. sapiens	C. elegans	HMBOX1	hmbx-1
11589	H. sapiens	R. norvegicus	HMBOX1	Hmbox1
11589	H. sapiens	X. laevis	HMBOX1	hmbox1
11589	H. sapiens	M. musculus	HMBOX1	Hmbox1
11590	H. sapiens	M. musculus	CHD1L	Chd1l
11590	H. sapiens	R. norvegicus	CHD1L	Chd1l
11592	H. sapiens	M. musculus	SNRNP25	Snrnp25
11592	H. sapiens	X. laevis	SNRNP25	snrnp25
11592	H. sapiens	R. norvegicus	SNRNP25	Snrnp25
11593	H. sapiens	R. norvegicus	NDNF	Ndnf
11593	H. sapiens	X. laevis	NDNF	ndnf
11593	H. sapiens	M. musculus	NDNF	Ndnf
11595	H. sapiens	R. norvegicus	OGFRL1	Ogfrl1
11595	H. sapiens	X. laevis	OGFRL1	ogfrl1
11595	H. sapiens	M. musculus	OGFRL1	Ogfrl1
11596	H. sapiens	R. norvegicus	SH3TC2	Sh3tc2
11596	H. sapiens	M. musculus	SH3TC2	Sh3tc2
11596	H. sapiens	X. laevis	SH3TC2	sh3tc2
11597	H. sapiens	M. musculus	OCEL1	Ocel1
11597	H. sapiens	R. norvegicus	OCEL1	Ocel1
11599	H. sapiens	S. cerevisiae	EFTUD1	RIA1
11599	H. sapiens	M. musculus	EFTUD1	Eftud1
11599	H. sapiens	X. laevis	EFTUD1	eftud1
11599	H. sapiens	D. melanogaster	EFTUD1	CG33158
11599	H. sapiens	R. norvegicus	EFTUD1	Eftud1
11600	H. sapiens	M. musculus	FAM184A	Fam184a
11600	H. sapiens	R. norvegicus	FAM184A	Fam184a
11600	H. sapiens	X. laevis	FAM184A	fam184a
11601	H. sapiens	D. melanogaster	SCRN3	CG10098
11601	H. sapiens	R. norvegicus	SCRN3	Scrn3
11601	H. sapiens	X. laevis	SCRN3	scrn3
11601	H. sapiens	M. musculus	SCRN3	Scrn3
11603	H. sapiens	R. norvegicus	ARMC7	Armc7
11603	H. sapiens	M. musculus	ARMC7	Armc7
11603	H. sapiens	X. laevis	ARMC7	armc7
11605	H. sapiens	M. musculus	ROGDI	Rogdi
11605	H. sapiens	R. norvegicus	ROGDI	Rogdi
11605	H. sapiens	D. melanogaster	ROGDI	rogdi
11605	H. sapiens	X. laevis	ROGDI	rogdi
11607	H. sapiens	M. musculus	CHMP6	Chmp6
11607	H. sapiens	C. elegans	CHMP6	vps-20
11607	H. sapiens	R. norvegicus	CHMP6	Chmp6
11607	H. sapiens	X. laevis	CHMP6	chmp6
11607	H. sapiens	D. melanogaster	CHMP6	Vps20
11608	H. sapiens	R. norvegicus	EFCAB1	Efcab1
11608	H. sapiens	X. laevis	EFCAB1	efcab1
11608	H. sapiens	M. musculus	EFCAB1	Efcab1
11608	H. sapiens	D. melanogaster	EFCAB1	CG2256
11611	H. sapiens	M. musculus	USB1	Usb1
11611	H. sapiens	R. norvegicus	USB1	Usb1
11611	H. sapiens	D. melanogaster	USB1	CG16790
11611	H. sapiens	X. laevis	USB1	usb1
11613	H. sapiens	X. laevis	RPAP3	rpap3
11613	H. sapiens	D. melanogaster	RPAP3	spag
11613	H. sapiens	R. norvegicus	RPAP3	Rpap3
11613	H. sapiens	M. musculus	RPAP3	Rpap3
11615	H. sapiens	M. musculus	PPP1R3B	Ppp1r3b
11615	H. sapiens	R. norvegicus	PPP1R3B	Ppp1r3b
11615	H. sapiens	X. laevis	PPP1R3B	ppp1r3b
11615	H. sapiens	C. elegans	PPP1R3B	H18N23.2
11616	H. sapiens	R. norvegicus	NEIL1	Neil1
11616	H. sapiens	X. laevis	NEIL1	neil1
11616	H. sapiens	M. musculus	NEIL1	Neil1
11617	H. sapiens	M. musculus	HSPBAP1	Hspbap1
11617	H. sapiens	R. norvegicus	HSPBAP1	Hspbap1
11618	H. sapiens	M. musculus	NARG2	Narg2
11618	H. sapiens	R. norvegicus	NARG2	Narg2
11618	H. sapiens	X. laevis	NARG2	narg2
11620	H. sapiens	M. musculus	PLEKHF2	Plekhf2
11620	H. sapiens	R. norvegicus	PLEKHF2	Plekhf2
11620	H. sapiens	C. elegans	PLEKHF2	ZK632.12
11620	H. sapiens	D. melanogaster	PLEKHF2	rush
11620	H. sapiens	X. laevis	PLEKHF2	plekhf2
11621	H. sapiens	X. laevis	PARP8	parp8
11621	H. sapiens	R. norvegicus	PARP8	Parp8
11621	H. sapiens	M. musculus	PARP8	Parp8
11622	H. sapiens	X. laevis	C3orf52	c3orf52
11622	H. sapiens	R. norvegicus	C3orf52	LOC685680
11622	H. sapiens	M. musculus	C3orf52	BC016579
11623	H. sapiens	R. norvegicus	NLRX1	Nlrx1
11623	H. sapiens	M. musculus	NLRX1	Nlrx1
11623	H. sapiens	X. laevis	NLRX1	nlrx1
11624	H. sapiens	D. melanogaster	VEPH1	melt
11624	H. sapiens	M. musculus	VEPH1	Veph1
11624	H. sapiens	R. norvegicus	VEPH1	Veph1
11624	H. sapiens	C. elegans	VEPH1	K10B4.3
11624	H. sapiens	X. laevis	VEPH1	veph1
11627	H. sapiens	R. norvegicus	VTCN1	Vtcn1
11627	H. sapiens	M. musculus	VTCN1	Vtcn1
11627	H. sapiens	X. laevis	VTCN1	vtcn1
11628	H. sapiens	M. musculus	SLC12A8	Slc12a8
11628	H. sapiens	D. melanogaster	SLC12A8	CG12773
11628	H. sapiens	X. laevis	SLC12A8	LOC100488646
11628	H. sapiens	R. norvegicus	SLC12A8	Slc12a8
11628	H. sapiens	C. elegans	SLC12A8	F10E7.9
11629	H. sapiens	R. norvegicus	CENPU	Cenpu
11629	H. sapiens	M. musculus	CENPU	Cenpu
11632	H. sapiens	R. norvegicus	SAP30L	Sap30l
11632	H. sapiens	M. musculus	SAP30L	Sap30l
11632	H. sapiens	X. laevis	SAP30L	sap30l
11632	H. sapiens	D. melanogaster	SAP30L	Sap30
11635	H. sapiens	M. musculus	YRDC	Yrdc
11635	H. sapiens	D. melanogaster	YRDC	CG33786
11635	H. sapiens	X. laevis	YRDC	yrdc
11635	H. sapiens	R. norvegicus	YRDC	Yrdc
11636	H. sapiens	X. laevis	MANEA	LOC100485932
11636	H. sapiens	D. melanogaster	MANEA	CG14015
11636	H. sapiens	R. norvegicus	MANEA	Manea
11636	H. sapiens	M. musculus	MANEA	Manea
11637	H. sapiens	X. laevis	GALNT12	galnt12
11637	H. sapiens	R. norvegicus	GALNT12	Galnt12
11637	H. sapiens	M. musculus	GALNT12	Galnt12
11639	H. sapiens	D. melanogaster	NUP43	Nup43
11639	H. sapiens	R. norvegicus	NUP43	Nup43
11639	H. sapiens	M. musculus	NUP43	Nup43
11639	H. sapiens	X. laevis	NUP43	nup43
11640	H. sapiens	M. musculus	OGFOD3	Ogfod3
11640	H. sapiens	R. norvegicus	OGFOD3	Ogfod3
11640	H. sapiens	X. laevis	OGFOD3	ogfod3
11641	H. sapiens	M. musculus	BBS1	Bbs1
11641	H. sapiens	X. laevis	BBS1	bbs1
11641	H. sapiens	C. elegans	BBS1	bbs-1
11641	H. sapiens	R. norvegicus	BBS1	Bbs1
11641	H. sapiens	D. melanogaster	BBS1	BBS1
11644	H. sapiens	M. musculus	MORC4	Morc4
11644	H. sapiens	R. norvegicus	MORC4	Morc4
11646	H. sapiens	R. norvegicus	CCDC51	Ccdc51
11646	H. sapiens	M. musculus	CCDC51	Ccdc51
11646	H. sapiens	X. laevis	CCDC51	ccdc51
11646	H. sapiens	C. elegans	CCDC51	ZC477.3
11647	H. sapiens	D. melanogaster	NPEPL1	grsm
11647	H. sapiens	C. elegans	NPEPL1	lap-1
11647	H. sapiens	R. norvegicus	NPEPL1	Npepl1
11647	H. sapiens	M. musculus	NPEPL1	Npepl1
11648	H. sapiens	M. musculus	AAGAB	Aagab
11648	H. sapiens	R. norvegicus	AAGAB	Aagab
11648	H. sapiens	X. laevis	AAGAB	aagab
11649	H. sapiens	R. norvegicus	VPS37B	Vps37b
11649	H. sapiens	D. melanogaster	VPS37B	CG1115
11649	H. sapiens	M. musculus	VPS37B	Vps37b
11649	H. sapiens	X. laevis	VPS37B	vps37b
11650	H. sapiens	R. norvegicus	ZNF768	LOC102553763
11650	H. sapiens	M. musculus	ZNF768	Zfp768
11652	H. sapiens	M. musculus	PALB2	Palb2
11652	H. sapiens	R. norvegicus	PALB2	Palb2
11653	H. sapiens	M. musculus	NSUN7	Nsun7
11653	H. sapiens	R. norvegicus	NSUN7	Nsun7
11653	H. sapiens	X. laevis	NSUN7	nsun7
11654	H. sapiens	M. musculus	E2F8	E2f8
11654	H. sapiens	R. norvegicus	E2F8	E2f8
11654	H. sapiens	X. laevis	E2F8	e2f8
11656	H. sapiens	R. norvegicus	TBC1D17	Tbc1d17
11656	H. sapiens	X. laevis	TBC1D17	tbc1d17
11656	H. sapiens	M. musculus	TBC1D17	Tbc1d17
11657	H. sapiens	X. laevis	TEFM	tefm
11657	H. sapiens	R. norvegicus	TEFM	Tefm
11657	H. sapiens	M. musculus	TEFM	Tefm
11658	H. sapiens	M. musculus	AAMDC	Aamdc
11658	H. sapiens	R. norvegicus	AAMDC	Aamdc
11661	H. sapiens	M. musculus	ZBBX	Zbbx
11661	H. sapiens	X. laevis	ZBBX	zbbx
11661	H. sapiens	R. norvegicus	ZBBX	Zbbx
11662	H. sapiens	R. norvegicus	CLIP4	Clip4
11662	H. sapiens	X. laevis	CLIP4	LOC100495216
11662	H. sapiens	M. musculus	CLIP4	Clip4
11663	H. sapiens	X. laevis	ZNF385D	znf385d
11663	H. sapiens	R. norvegicus	ZNF385D	Zfp385d
11666	H. sapiens	R. norvegicus	ASB13	Asb13
11666	H. sapiens	M. musculus	ASB13	Asb13
11666	H. sapiens	X. laevis	ASB13	asb13
11667	H. sapiens	R. norvegicus	ZNF668	Zfp668
11667	H. sapiens	M. musculus	ZNF668	Zfp668
11667	H. sapiens	X. laevis	ZNF668	znf668
11668	H. sapiens	M. musculus	GEMIN7	Gemin7
11669	H. sapiens	M. musculus	C1orf115	C130074G19Rik
11669	H. sapiens	R. norvegicus	C1orf115	RGD1310587
11670	H. sapiens	R. norvegicus	GIMAP6	Gimap6
11670	H. sapiens	M. musculus	GIMAP6	Gimap6
11674	H. sapiens	R. norvegicus	RABL6	Rabl6
11674	H. sapiens	X. laevis	RABL6	rabl6
11674	H. sapiens	M. musculus	RABL6	Rabl6
11678	H. sapiens	R. norvegicus	CCDC82	Ccdc82
11678	H. sapiens	M. musculus	CCDC82	Ccdc82
11678	H. sapiens	X. laevis	CCDC82	ccdc82
11681	H. sapiens	X. laevis	SUGCT	LOC100490876
11681	H. sapiens	R. norvegicus	SUGCT	RGD1308114
11681	H. sapiens	M. musculus	SUGCT	Sugct
11681	H. sapiens	D. melanogaster	SUGCT	CG10877
11683	H. sapiens	R. norvegicus	CLMN	Clmn
11683	H. sapiens	M. musculus	CLMN	Clmn
11684	H. sapiens	X. laevis	FBXO31	fbxo31
11684	H. sapiens	R. norvegicus	FBXO31	Fbxo31
11684	H. sapiens	M. musculus	FBXO31	Fbxo31
11687	H. sapiens	X. laevis	ZNF408	znf408
11687	H. sapiens	M. musculus	ZNF408	Zfp408
11687	H. sapiens	R. norvegicus	ZNF408	LOC100362202
11689	H. sapiens	M. musculus	CARF	Carf
11689	H. sapiens	X. laevis	CARF	carf
11689	H. sapiens	R. norvegicus	CARF	Carf
11690	H. sapiens	X. laevis	HHIPL2	hhipl2
11690	H. sapiens	R. norvegicus	HHIPL2	Hhipl2
11690	H. sapiens	M. musculus	HHIPL2	Hhipl2
11691	H. sapiens	R. norvegicus	HPS6	Hps6
11691	H. sapiens	X. laevis	HPS6	hps6
11691	H. sapiens	M. musculus	HPS6	Hps6
11693	H. sapiens	X. laevis	GSTCD	gstcd
11693	H. sapiens	R. norvegicus	GSTCD	Gstcd
11693	H. sapiens	M. musculus	GSTCD	Gstcd
11693	H. sapiens	D. melanogaster	GSTCD	CG10428
11695	H. sapiens	X. laevis	PTCD2	ptcd2
11695	H. sapiens	M. musculus	PTCD2	Ptcd2
11695	H. sapiens	R. norvegicus	PTCD2	Ptcd2
11696	H. sapiens	M. musculus	SLTM	Sltm
11697	H. sapiens	X. laevis	MMRN2	mmrn2
11697	H. sapiens	M. musculus	MMRN2	Mmrn2
11697	H. sapiens	R. norvegicus	MMRN2	Mmrn2
11698	H. sapiens	R. norvegicus	EHMT1	Ehmt1
11698	H. sapiens	X. laevis	EHMT1	ehmt1
11698	H. sapiens	M. musculus	EHMT1	Ehmt1
11701	H. sapiens	M. musculus	TLE6	Tle6
11701	H. sapiens	R. norvegicus	TLE6	Tle6
11704	H. sapiens	X. laevis	CAMKMT	camkmt
11704	H. sapiens	R. norvegicus	CAMKMT	Camkmt
11704	H. sapiens	D. melanogaster	CAMKMT	CG10947
11704	H. sapiens	M. musculus	CAMKMT	Camkmt
11705	H. sapiens	R. norvegicus	CLMP	Clmp
11705	H. sapiens	X. laevis	CLMP	clmp
11705	H. sapiens	M. musculus	CLMP	Clmp
11706	H. sapiens	R. norvegicus	METTL8	Mettl8
11706	H. sapiens	M. musculus	METTL8	Mettl8
11710	H. sapiens	R. norvegicus	QSER1	Qser1
11710	H. sapiens	M. musculus	QSER1	Qser1
11710	H. sapiens	X. laevis	QSER1	LOC100036640
11712	H. sapiens	R. norvegicus	LONRF3	Lonrf3
11712	H. sapiens	M. musculus	LONRF3	Lonrf3
11712	H. sapiens	X. laevis	LONRF3	lonrf3
11713	H. sapiens	R. norvegicus	TMC5	Tmc5
11713	H. sapiens	X. laevis	TMC5	tmc5
11713	H. sapiens	M. musculus	TMC5	Tmc5
11714	H. sapiens	R. norvegicus	NHEJ1	Nhej1
11714	H. sapiens	X. laevis	NHEJ1	nhej1
11714	H. sapiens	M. musculus	NHEJ1	Nhej1
11715	H. sapiens	R. norvegicus	AGBL2	Agbl2
11715	H. sapiens	M. musculus	AGBL2	Agbl2
11715	H. sapiens	X. laevis	AGBL2	agbl2
11717	H. sapiens	M. musculus	RNF122	Rnf122
11718	H. sapiens	X. laevis	C7orf63	LOC100494509
11718	H. sapiens	R. norvegicus	C7orf63	LOC100910867
11718	H. sapiens	M. musculus	C7orf63	A330021E22Rik
11719	H. sapiens	M. musculus	PDZD3	Pdzd3
11719	H. sapiens	R. norvegicus	PDZD3	Pdzd3
11719	H. sapiens	X. laevis	PDZD3	pdzd3
11720	H. sapiens	X. laevis	FAM57A	fam57a
11720	H. sapiens	R. norvegicus	FAM57A	Fam57a
